Epoch,Train Accuracy,Test Accuracy
250,80.31343797083912,47.08831058020478
260,80.05362375579837,46.41638225255973
270,79.80567320354486,45.44581911262799
280,81.47844965654696,46.34172354948806
290,82.25077410399687,46.91766211604095
300,82.34924250513103,46.34172354948806
310,83.32324921996417,46.93899317406143
320,83.75271381286258,47.35494880546075
330,81.89367785410067,46.25639931740614
340,83.57713160361129,46.970989761092156
350,84.34826968478248,46.91766211604095
360,85.33414006240287,47.84556313993174
370,85.2593989868432,47.82423208191126
380,86.1693419226252,48.01621160409557
390,85.2451625914985,48.208191126279864
400,85.11584866711749,47.621587030716725
