,Train accuracy,Test accs,structure
0,46.34895777722414,32.87116040955632,"[1600, 512, 35]"
1,52.87753140904723,35.718856655290104,"[1600, 256, 256, 35]"
2,56.79728559395427,36.262798634812285,"[1600, 256, 128, 128, 35]"
3,55.262127629284265,35.3348976109215,"[1600, 128, 128, 128, 128, 35]"
