,Train accuracy,Test accuracy,Normalization,epoch
0,12.689373717241462,11.262798634812286,None,0
1,17.39687511122184,13.246587030716722,None,10
2,17.624657436737017,14.014505119453924,None,20
3,18.560700430650957,13.811860068259385,None,30
4,18.520363977174313,13.331911262798634,None,40
5,11.217093165343869,8.404436860068259,Min max,0
6,11.215906799065143,8.393771331058021,Min max,10
7,11.215906799065143,8.393771331058021,Min max,20
8,11.215906799065143,8.383105802047782,Min max,30
9,11.215906799065143,8.383105802047782,Min max,40
10,11.215906799065143,8.383105802047782,Max abs,0
11,11.215906799065143,8.383105802047782,Max abs,10
12,11.215906799065143,8.383105802047782,Max abs,20
13,11.215906799065143,8.383105802047782,Max abs,30
14,11.215906799065143,8.393771331058021,Max abs,40
15,3.261320900214732,3.434300341296928,Withening,0
16,3.261320900214732,3.434300341296928,Withening,10
17,3.261320900214732,3.434300341296928,Withening,20
18,3.261320900214732,3.434300341296928,Withening,30
19,3.261320900214732,3.434300341296928,Withening,40
20,11.834003630280813,11.881399317406144,Mean variance,0
21,21.415097697263054,17.544795221843003,Mean variance,10
22,23.704784615202097,18.312713310580207,Mean variance,20
23,25.007414789242034,18.35537542662116,Mean variance,30
24,25.689575399508847,18.206058020477816,Mean variance,40
