,Train accuracy,Test accs,structure
0,24.535241010309523,17.918088737201366,"[1600, 35]"
1,42.6676632143408,29.99146757679181,"[1600, 256, 35]"
2,51.103913822353505,35.612201365187715,"[1600, 256, 128, 35]"
3,54.989263385177544,35.601535836177476,"[1600, 256, 128, 56, 35]"
